Partidos/Coalizacoes Nacionais,Espectro Politico,IPP (Índice de Posição Política)
"COALICION CIVICA - (ARI)" ,Centro a Centro-Direita,0
"COMPROMISO FEDERAL",Centro-Direita,1
"ENCUENTRO REPUBLICANO FEDERAL",Direita a Extrema-Direita,1
"FRENTE PATRIOTA FEDERAL",Extrema-Direita,2
"GEN",Centro a Centro-Esquerda,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR",Esquerda,-1
"IZQUIERDA POR UNA OPCION SOCIALISTA",Esquerda,-1
"KOLINA",Centro-Esquerda,-1
"LA IZQUIERDA DE LOS TRABAJADORES",Esquerda,-1
"LA LIBERTAD AVANZA",Direita a Extrema-Direita,2
"MOVIMIENTO AL SOCIALISMO",Esquerda,-2
"MOVIMIENTO DE ACCION VECINAL",Centro-Direita,1
"MOVIMIENTO DE INTEGRACION Y DESARROLLO",Centro-Direita,1
"MOVIMIENTO LIBRES DEL SUR",Centro-Esquerda a Esquerda,-1
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES",Esquerda,-2
"NUEVA IZQUIERDA",Esquerda,-2
"NUEVO ENCUENTRO POR LA DEMOCRACIA Y LA EQUIDAD",Centro-Esquerda,-1
"PARTIDO AUTONOMISTA",Direita  ,1
"PARTIDO CONSERVADOR POPULAR",Direita,1
"PARTIDO DE LA CONCERTACION FORJA",Centro-Esquerda,-1
"PARTIDO DE LA CULTURA LA EDUCACION Y EL TRABAJO",Centro a Centro-Direita,0
"PARTIDO DE LA VICTORIA",Centro-Esquerda,-1
"PARTIDO DE TRABAJADORES POR EL SOCIALISMO",Esquerda,-2
"PARTIDO DEL OBRERO",Esquerda,-2
"PARTIDO DEL TRABAJO Y DEL PUEBLO",Esquerda,-2
"PARTIDO DEL TRABAJO Y LA EQUIDAD",Centro,0
"PARTIDO DEMOCRATA",Direita,1
"PARTIDO DEMOCRATA CRISTIANO",Centro-Direita,0
"PARTIDO DEMOCRATA PROGRESISTA",Centro-Direita a Direita,1
"PARTIDO FE",Direita,1
"PARTIDO FEDERAL",Centro-Direita a Direita,1
"PARTIDO FRENTE GRANDE,Centro-Esquerda,-1
"PARTIDO INTRANSIGENTE",Centro-Esquerda a Esquerda,-1
"PARTIDO JUSTICIALISTA",Centro-Esqueda, -1
"PARTIDO OBRERO",Esquerda,-1
"PARTIDO RENOVADOR FEDERAL",Direita,1
"PARTIDO SOCIALISTA",Centro-Esquerda, -1
"PARTIDO SOLIDARIO",Centro-Esquerda a Esquerda,-1
"PARTIDO UNION CELESTE Y BLANCO",Centro-Direita a Direita,1
"PATRIA GRANDE",Esquerda,-1
"POLITICA OBRERA",Esquerda,-1
"UNION CIVICA RADICAL",Centro a Centro-Esquerda,0
"UNION DEL CENTRO DEMOCRATICO",Direita,1
"UNION POPULAR FEDERAL",Direita,1
"UNIR",Direita a Extrema-Direita,2
"PARTIDO COMUNISTA REVOLUCIONÁRIO",Esquerda a Extrema-Esquerda,-2
"NUEVO ENCUENTRO",Centro-Esquerda, -1
"INSTRUMENTO ELECTORAL POR LA UNIDADE POPULAR",Esquerda,-1
"PARTIDO COMUNISTA" ,Esquerda a Extrema-Esquerda,-2
"PERONISMO REPUBLICANO",Direita a Extrema-Direita,2
"CONFIANÇA PUBLICA",Centro,0
"FRENTE CIVICO DE CORDOBA",Centro-Esquerda,0
"PARTIDO DO DIALOGO",Centro,0
"REPUBLICANOS UNIDOS (EM CABA E MENDOZA)",Direita a Extrema-Direita,2
"PARTIDO LIBERTARIO",Direita a Extrema-Direita,2
"UNION POR LA PATRIA", ,-1
"JUNTOS POR EL CAMBIO", , 1
"FRENTE DE IZQUIERDA Y DE TRABAJADORES", , -2
"HACEMOS POR NUESTRO PAIS", , 0
"FRENTE DE TODOS", , -1
"CONSENSO FEDERAL", , 0
"TERCERA VIA", , 0
"CAMBIA MENDOZA", , 1
"AVANZA LIBERTAD", , 2
"CAMBIEMOS", , 1
"UNIDAD CIUDADANA", , -1
"JUSTICIALISMO", , -1
"1PAIS", , -1
"PARTIDO SOCIALISTA", , -1	 
"FRENTE PARA LA VICTORIA", , -1
"UNIDOS POR UNA NUEVA ALTERNATIVA", , 1
"PROGRESISTAS"  ,, -1
"COMPROMISSO FEDERAL", ,1
"FRENTE PROGRESISTA CIVICO Y SOCIAL", ,-1
"FRENTE DE RENOVACION", ,-1
"PERONISMO FEDERAL", ,1
"UNION PRO", ,1
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES", ,-2
"FRENTE RENOVADOR",, -1
"PROPUESTA REPUBLICANA",, 1
"UNIDAD CIUDADANA", , -1
"FRENTE JUSTICIALISTA", ,-1
"FRENTE NOS",,1
"FRENTE DE RENOVACION", ,-1
"PARTIDO JUSTICIALISTA", , -1
