ano,cargo_nombre,agrupacion_nombre,votos_cantidad
2003,DIPUTADO PROVINCIAL,PARTIDO JUSTICIALISTA, 709683
2003,DIPUTADO PROVINCIAL,FRENTE POPULAR BONAERENSE, 258624
2003,DIPUTADO PROVINCIAL,ACCION FEDERALISTA POR BUENOS AIRES, 232540
2003,DIPUTADO PROVINCIAL,COALICION CIVICA - (ARI), 188595
2003,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 97329
2003,DIPUTADO PROVINCIAL,MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO., 95062
2003,DIPUTADO PROVINCIAL,IZQUIERDA UNIDA - PARTIDO SOCIALISTA, 85603
2003,DIPUTADO PROVINCIAL,PARTIDO HUMANISTA ECOLOGISTA, 36494
2003,DIPUTADO PROVINCIAL,PARTIDO AUTONOMISTA, 28984
2003,DIPUTADO PROVINCIAL,PARTIDO DEL OBRERO, 28618
2003,DIPUTADO PROVINCIAL,MOVIMIENTO DE INTEGRACION Y DESARROLLO, 23445
2003,DIPUTADO PROVINCIAL,PARTIDO SOCIALISTA AUTENTICO, 17253
2003,DIPUTADO PROVINCIAL,PARTIDO JUSTICIALISTA, 116531
2003,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 80390
2003,DIPUTADO PROVINCIAL,COALICION CIVICA - (ARI), 17993
2003,DIPUTADO PROVINCIAL,FRENTE POPULAR BONAERENSE, 10525
2003,DIPUTADO PROVINCIAL,MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO., 7135
2003,DIPUTADO PROVINCIAL,IZQUIERDA UNIDA - PARTIDO SOCIALISTA, 7059
2003,DIPUTADO PROVINCIAL,ACCION FEDERAL POR BS. AS., 7443
2003,DIPUTADO PROVINCIAL,PARTIDO UNION Y LIBERTAD – PUL, 6282
2003,DIPUTADO PROVINCIAL,PARTIDO JUSTICIALISTA, 177929
2003,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 126088
2003,DIPUTADO PROVINCIAL,COALICION CIVICA - (ARI), 45231
2003,DIPUTADO PROVINCIAL,ACCION MARPLATENSE, 41757
2003,DIPUTADO PROVINCIAL,MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO., 28633
2003,DIPUTADO PROVINCIAL,FRENTE POPULAR BONAERENSE, 21743
2003,DIPUTADO PROVINCIAL,IZQUIERDA UNIDA - PARTIDO SOCIALISTA, 17887
2003,DIPUTADO PROVINCIAL,PARTIDO HUMANISTA ECOLOGISTA, 6620
2003,DIPUTADO PROVINCIAL,UNION CIVICA RADICAL, 56045
2003,DIPUTADO PROVINCIAL,PARTIDO JUSTICIALISTA, 54219
2003,DIPUTADO PROVINCIAL,COALICION CIVICA - (ARI), 6893
